formula	pmid	canonical_date	canonical_year	naive_year	journal_issue_date	canonical_vs_naive_year_disagree	canonical_vs_issue_year_disagree	boundary_crossing_naive_vs_canonical	date_status
六味地黄丸	32184563	2020-03-02	2020	2020	2020	False	False	False	estimable
六味地黄丸	32914833	2020-09-30	2020	2020	2020-09-30	False	False	False	estimable
六味地黄丸	37171332	2023-05-12	2023	2023	2023-05-12	False	False	False	estimable
六味地黄丸	38112463	2023-12-19	2023	2023	2024-12	False	True	False	estimable
六味地黄丸	30075554	2018-08	2018	2018	2018-08	False	False	False	estimable
六味地黄丸	35701780	2022-06-14	2022	2022	2022-06-14	False	False	False	estimable
六味地黄丸	27170349	2016-05-12	2016	2016	2018-06	False	True	False	estimable
六味地黄丸	36744132	2023-01-19	2023	2023	2023	False	False	False	estimable
六味地黄丸	32186153	2019-12	2019	2019	2019-12	False	False	False	estimable
六味地黄丸	37920210	2023-10-18	2023	2023	2023	False	False	False	estimable
六味地黄丸	28588237	2017-06-06	2017	2017	2017-06-06	False	False	False	estimable
六味地黄丸	12060523	2002-06	2002	2002	2002-06	False	False	False	estimable
六味地黄丸	28028720	2016-12-27	2016	2016	2018-06	False	True	False	estimable
六味地黄丸	16358411	2005-11	2005	2005	2005-11	False	False	False	estimable
六味地黄丸	31819371	2019-11-28	2019	2019	2019	False	False	False	estimable
六味地黄丸	15768870	2005-02	2005	2005	2005-02	False	False	False	estimable
六味地黄丸	28099346	2017-01	2017	2017	2017-01	False	False	False	estimable
六味地黄丸	37579922	2023-08-12	2023	2023	2024-01-10	False	True	False	estimable
六味地黄丸	27491224	2016-06	2016	2016	2016-06	False	False	False	estimable
六味地黄丸	35777608	2022-06-28	2022	2022	2022-10-05	False	False	False	estimable
六味地黄丸	34840588	2021-11-19	2021	2021	2021	False	False	False	estimable
六味地黄丸	20518312	2010-01	2010	2010	2010-01	False	False	False	estimable
六味地黄丸	7877343	1994-12	1994	1994	1994-12	False	False	False	estimable
六味地黄丸	29212201	2017-09-30	2017	2017	2017-11-07	False	False	False	estimable
六味地黄丸	23646486	2013-02	2013	2013	2013-02	False	False	False	estimable
六味地黄丸	21749830	2011-07	2011	2011	2011-07	False	False	False	estimable
六味地黄丸	25612423	2014-10	2014	2014	2014-10	False	False	False	estimable
六味地黄丸	29071866	2017-04	2017	2017	2017-04	False	False	False	estimable
四君子汤	36343798	2022-11-05	2022	2022	2023-02-10	False	True	False	estimable
四君子汤	38880400	2024-06-14	2024	2024	2024-10-28	False	False	False	estimable
四君子汤	38640860	2024-04-13	2024	2024	2024-07	False	False	False	estimable
四君子汤	41058947	2025-10-02	2025	2025	2025	False	False	False	estimable
四君子汤	39667552	2024-12-10	2024	2024	2025-03-01	False	True	False	estimable
四君子汤	37860400	2023-10-11	2023	2023	2023	False	False	False	estimable
四君子汤	40769438	2025-08-07	2025	2025	2025-09-25	False	False	False	estimable
四君子汤	37467821	2023-07-17	2023	2023	2024-01-10	False	True	False	estimable
四君子汤	39307787	2024-08	2024	2024	2024-08	False	False	False	estimable
四君子汤	38650625	2024-04-08	2024	2024	2024	False	False	False	estimable
四君子汤	38924132	2024-06-26	2024	2024	2024-09	False	False	False	estimable
四君子汤	37738796	2023-09-20	2023	2023	2023-11	False	False	False	estimable
四君子汤	41177238	2025-10-31	2025	2025	2026-02-10	False	True	False	estimable
四君子汤	40139576	2025-03-24	2025	2025	2025-04-25	False	False	False	estimable
四君子汤	36883990	2023-03-08	2023	2023	2023	False	False	False	estimable
四君子汤	37005850	2023-03	2023	2023	2023-03	False	False	False	estimable
四君子汤	33149755	2020-10-23	2020	2020	2020	False	False	False	estimable
四君子汤	41034986	2025-10-01	2025	2025	2025-10-01	False	False	False	estimable
四君子汤	41101549	2025-10-14	2025	2025	2026-01-30	False	True	False	estimable
四君子汤	40987866	2025-09-23	2025	2025	2025-12	False	False	False	estimable
四君子汤	40190808	2025-03-31	2025	2025	2025	False	False	False	estimable
四君子汤	32627468	2020-06	2020	2020	2020-06	False	False	False	estimable
四君子汤	41482090	2025-12-31	2025	2025	2026-04-06	False	True	False	estimable
四君子汤	41280323	2025-11-07	2025	2025	2025	False	False	False	estimable
四君子汤	36807552	2023-03-03	2023	2023	2023-04	False	False	False	estimable
四君子汤	39151516	2024-08-16	2024	2024	2024-08-16	False	False	False	estimable
四君子汤	35154614	2021-11-18	2021	2021	2021	False	False	False	estimable
四君子汤	36649851	2023-01-14	2023	2023	2023-04-24	False	False	False	estimable
四君子汤	40937418	2025-08-27	2025	2025	2025	False	False	False	estimable
四君子汤	28953987	2017-09-21	2017	2017	2017-09-21	False	False	False	estimable
四君子汤	30341759	2018-10-19	2018	2018	2021-05	False	True	False	estimable
四君子汤	36872360	2023	2023	2023	2023	False	False	False	estimable
四君子汤	36875431	2022-10-17	2022	2022	2023-01	False	True	False	estimable
四君子汤	37868820	2023-10-17	2023	2023	2023	False	False	False	estimable
四君子汤	37716489	2023-09-14	2023	2023	2024-01-30	False	True	False	estimable
四君子汤	30901661	2019-02-28	2019	2019	2019-05	False	False	False	estimable
四君子汤	30991106	2019-04-13	2019	2019	2019-06	False	False	False	estimable
四君子汤	37609865	2023-08-23	2023	2023	2023-11	False	False	False	estimable
四君子汤	31807568	2019-10	2019	2019	2019-10	False	False	False	estimable
四君子汤	33350195	2020-11	2020	2020	2020-11	False	False	False	estimable
四君子汤	30890515	2019-02-28	2019	2019	2019-02-28	False	False	False	estimable
四君子汤	36636604	2023-01-03	2023	2023	2023	False	False	False	estimable
四君子汤	39660000	2024-11-26	2024	2024	2024	False	False	False	estimable
四君子汤	33851227	2021-04-13	2021	2021	2021-05	False	False	False	estimable
四君子汤	38580190	2024-04-03	2024	2024	2024-07-15	False	False	False	estimable
四君子汤	37918551	2023-10-31	2023	2023	2024-01-30	False	True	False	estimable
四君子汤	37033783	2023-04-01	2023	2023	2023	False	False	False	estimable
四君子汤	38633631	2024-04-03	2024	2024	2024-04-15	False	False	False	estimable
四君子汤	38697408	2024-05-01	2024	2024	2024-09-15	False	False	False	estimable
四君子汤	31915457	2019-11-29	2019	2019	2019	False	False	False	estimable
四君子汤	35303006	2022-03-18	2022	2022	2022	False	False	False	estimable
四君子汤	39221016	2024-08-23	2024	2024	2024	False	False	False	estimable
四君子汤	36309112	2022-10-26	2022	2022	2023-02-10	False	True	False	estimable
四君子汤	17609919	2007-06	2007	2007	2007-06	False	False	False	estimable
四君子汤	37931831	2023-11-04	2023	2023	2024-01-30	False	True	False	estimable
四君子汤	35463069	2022-04-12	2022	2022	2022	False	False	False	estimable
四君子汤	29399136	2017-11-24	2017	2017	2018-02	False	True	False	estimable
四君子汤	35111070	2022-01-17	2022	2022	2021	False	True	False	estimable
四君子汤	40291867	2025-04-27	2025	2025	2025-04-27	False	False	False	estimable
四君子汤	28073341	2017-01-10	2017	2017	2017-01-10	False	False	False	estimable
四君子汤	30590199	2018-12-24	2018	2018	2019-04-06	False	True	False	estimable
四君子汤	36439829	2022-11-11	2022	2022	2022	False	False	False	estimable
四君子汤	35673907	2022-05-20	2022	2022	2022-05-20	False	False	False	estimable
四君子汤	34392655	2021-08	2021	2021	2021-08	False	False	False	estimable
四君子汤	28459513	2016-08	2016	2016	2016-08	False	False	False	estimable
四君子汤	36419729	2022-11-07	2022	2022	2022	False	False	False	estimable
四君子汤	28852730	2016-07-03	2016	2016	2016	False	False	False	estimable
四君子汤	33530172	2021-01-29	2021	2021	2021-01-29	False	False	False	estimable
四君子汤	26825084	2016-01-29	2016	2016	2017-06	False	True	False	estimable
四君子汤	12378617	2002-10	2002	2002	2002-10	False	False	False	estimable
四君子汤	34710756	2021-10-08	2021	2021	2021-12	False	False	False	estimable
四君子汤	34650613	2021-10-05	2021	2021	2021	False	False	False	estimable
四君子汤	30132595	2016-04	2016	2016	2016-04	False	False	False	estimable
四君子汤	40896353	2025-08-07	2025	2025	2025-12	False	False	False	estimable
四君子汤	30018481	2018-07-14	2018	2018	2018-07-14	False	False	False	estimable
四君子汤	28866044	2017-09-01	2017	2017	2018-01-10	False	True	False	estimable
四君子汤	27062830	2015-10	2015	2015	2015-10	False	False	False	estimable
四君子汤	34603476	2021-09-22	2021	2021	2021	False	False	False	estimable
四君子汤	28752861	2017-07-28	2017	2017	2017-09	False	False	False	estimable
四君子汤	23596817	2013-02	2013	2013	2013-02	False	False	False	estimable
四君子汤	27347409	2016-05-16	2016	2016	2016-07	False	False	False	estimable
四君子汤	29890316	2018-06-15	2018	2018	2018-10-05	False	False	False	estimable
四君子汤	31572528	2019-08-13	2019	2019	2019-10	False	False	False	estimable
四君子汤	35139871	2022-02-09	2022	2022	2022-02-09	False	False	False	estimable
四君子汤	26390661	2015-05	2015	2015	2015-05	False	False	False	estimable
四君子汤	26495660	2015-03	2015	2015	2015-03	False	False	False	estimable
四君子汤	30209912	2016-09	2016	2016	2016-09	False	False	False	estimable
四君子汤	22734417	2012-01	2012	2012	2012-01	False	False	False	estimable
四君子汤	24432683	2013-10	2013	2013	2013-10	False	False	False	estimable
四君子汤	26677678	2015-10	2015	2015	2015-10	False	False	False	estimable
四君子汤	9812652	1997-01	1997	1997	1997-01	False	False	False	estimable
四君子汤	19960982	2009-09	2009	2009	2009-09	False	False	False	estimable
四君子汤	11789191	2000-08	2000	2000	2000-08	False	False	False	estimable
四君子汤	16398424	2005-12	2005	2005	2005-12	False	False	False	estimable
四君子汤	25518106	2014-10	2014	2014	2014-10	False	False	False	estimable
四君子汤	29071867	2017-04	2017	2017	2017-04	False	False	False	estimable
四君子汤	24432686	2013-10	2013	2013	2013-10	False	False	False	estimable
四君子汤	15383256	2004-09	2004	2004	2004-09	False	False	False	estimable
四君子汤	8136649	1993-12	1993	1993	1993-12	False	False	False	estimable
四君子汤	22471142	2012-03	2012	2012	2012-03	False	False	False	estimable
四君子汤	21144463	2010-12	2010	2010	2010-12	False	False	False	estimable
四物汤	40963918	2025-08-11	2025	2025	2025	False	False	False	estimable
四物汤	39954622	2025-02-09	2025	2025	2025-04	False	False	False	estimable
四物汤	39515108	2024-02-01	2024	2024	2024-12	False	False	False	estimable
四物汤	39084183	2024-07-25	2024	2024	2024-10	False	False	False	estimable
四物汤	41027741	2025-09-30	2025	2025	2025-12	False	False	False	estimable
四物汤	40414577	2025-05-23	2025	2025	2025-06-26	False	False	False	estimable
四物汤	41429385	2025-12-20	2025	2025	2026-03-25	False	True	False	estimable
四物汤	40653039	2025-07-11	2025	2025	2025-09-25	False	False	False	estimable
四物汤	38213245	2024-02	2024	2024	2024-02	False	False	False	estimable
四物汤	37142144	2023-05-02	2023	2023	2023-10-05	False	False	False	estimable
四物汤	38751973	2024-04-30	2024	2024	2024	False	False	False	estimable
四物汤	39626448	2024-11-28	2024	2024	2025-01	False	True	False	estimable
四物汤	41029156	2025-09-26	2025	2025	2025-09-26	False	False	False	estimable
四物汤	33424599	2020-12-08	2020	2020	2020	False	False	False	estimable
四物汤	41019540	2025-09-11	2025	2025	2025	False	False	False	estimable
四物汤	37342242	2023-06-05	2023	2023	2023	False	False	False	estimable
四物汤	39639367	2024-12-06	2024	2024	2024-12-06	False	False	False	estimable
四物汤	40661312	2025-06-30	2025	2025	2025	False	False	False	estimable
四物汤	35754465	2022-06-08	2022	2022	2022	False	False	False	estimable
四物汤	27507200	2016-07	2016	2016	2016-07	False	False	False	estimable
四物汤	39219817	2024-08-27	2024	2024	2024	False	False	False	estimable
四物汤	41265218	2025-11-19	2025	2025	2026-01-01	False	True	False	estimable
四物汤	39566864	2024-11-19	2024	2024	2025-01-13	False	True	False	estimable
四物汤	37294373	2023-06-09	2023	2023	2023-05	False	False	False	estimable
四物汤	39467910	2024-10-28	2024	2024	2024-12	False	False	False	estimable
四物汤	39781735	2025	2025	2025	2025	False	False	False	estimable
四物汤	36193143	2022-09-20	2022	2022	2022	False	False	False	estimable
四物汤	38824979	2024-05-31	2024	2024	2024-10-28	False	False	False	estimable
四物汤	33041788	2020-09-11	2020	2020	2020	False	False	False	estimable
四物汤	37533095	2023-08-02	2023	2023	2023-08-02	False	False	False	estimable
四物汤	38462929	2024	2024	2024	2024	False	False	False	estimable
四物汤	36726841	2023-01-23	2023	2023	2023	False	False	False	estimable
四物汤	33563883	2021-02-09	2021	2021	2021-04-01	False	False	False	estimable
四物汤	39270591	2024-08-31	2024	2024	2024-11	False	False	False	estimable
四物汤	38042386	2023-11-30	2023	2023	2024-03-01	False	True	False	estimable
四物汤	38962303	2024-06-18	2024	2024	2024	False	False	False	estimable
四物汤	31666500	2019-10-31	2019	2019	2019-10-31	False	False	False	estimable
四物汤	39145055	2024-07-26	2024	2024	2024-07-31	False	False	False	estimable
四物汤	32038266	2020-01-24	2020	2020	2019	False	True	False	estimable
四物汤	26087559	2015-03	2015	2015	2015-03	False	False	False	estimable
四物汤	37088809	2023-04-23	2023	2023	2023-04-23	False	False	False	estimable
四物汤	36682599	2023-01-20	2023	2023	2023-05-10	False	False	False	estimable
四物汤	39268469	2024-08-29	2024	2024	2024	False	False	False	estimable
四物汤	32627471	2020-06	2020	2020	2020-06	False	False	False	estimable
四物汤	37079249	2023-04-20	2023	2023	2023-05	False	False	False	estimable
四物汤	38763371	2024-05-18	2024	2024	2024-10-05	False	False	False	estimable
四物汤	20878657	2010-11	2010	2010	2010-11	False	False	False	estimable
四物汤	38902693	2024-06-21	2024	2024	2024-06-21	False	False	False	estimable
四物汤	34447315	2021-08-10	2021	2021	2021	False	False	False	estimable
四物汤	38215128	2024-01-12	2024	2024	2024-01-12	False	False	False	estimable
四物汤	35860405	2022-06-26	2022	2022	2022	False	False	False	estimable
四物汤	38777084	2024-05-20	2024	2024	2024-10-05	False	False	False	estimable
四物汤	38115279	2023-12-15	2023	2023	2023-12-15	False	False	False	estimable
四物汤	35911404	2022-07-13	2022	2022	2022	False	False	False	estimable
四物汤	36206870	2022-10-04	2022	2022	2023-01-30	False	True	False	estimable
四物汤	37827297	2023-10-11	2023	2023	2024-01-30	False	True	False	estimable
四物汤	30928896	2019-03-23	2019	2019	2019-06-05	False	False	False	estimable
四物汤	40951885	2025-08-21	2025	2025	2025-08-21	False	False	False	estimable
四物汤	33460756	2021-01-16	2021	2021	2021-04-24	False	False	False	estimable
四物汤	36632856	2023-01-09	2023	2023	2023-04-06	False	False	False	estimable
四物汤	38266455	2024-01-12	2024	2024	2024-04-15	False	False	False	estimable
四物汤	31207665	2019-08-27	2019	2019	2019-11	False	False	False	estimable
四物汤	34822997	2021-11-22	2021	2021	2022-01	False	True	False	estimable
四物汤	35800455	2022-07-01	2022	2022	2022	False	False	False	estimable
四物汤	38434034	2024-02-20	2024	2024	2024-02-29	False	False	False	estimable
四物汤	35475538	2022-06-07	2022	2022	2022-09	False	False	False	estimable
四物汤	35718495	2022-05	2022	2022	2022-05	False	False	False	estimable
四物汤	37264383	2023-06-01	2023	2023	2023-06-01	False	False	False	estimable
四物汤	35525530	2022-05-05	2022	2022	2022-08-10	False	False	False	estimable
四物汤	32914552	2020-09-30	2020	2020	2020-11	False	False	False	estimable
四物汤	28459513	2016-08	2016	2016	2016-08	False	False	False	estimable
四物汤	37802815	2023-09	2023	2023	2023-09	False	False	False	estimable
四物汤	23935733	2013-05-09	2013	2013	2013-07	False	False	False	estimable
四物汤	30849503	2019-03-05	2019	2019	2019-05-23	False	False	False	estimable
四物汤	35096106	2022-01-21	2022	2022	2022	False	False	False	estimable
四物汤	29657247	2018-04-14	2018	2018	2018-07-01	False	False	False	estimable
四物汤	34509606	2021-09-09	2021	2021	2022-01-10	False	True	False	estimable
四物汤	34467694	2021-06	2021	2021	2021-06	False	False	False	estimable
四物汤	39897525	2025-01-27	2025	2025	2025	False	False	False	estimable
四物汤	37307591	2023-06-12	2023	2023	2023-09-04	False	False	False	estimable
四物汤	28994539	2017-03	2017	2017	2017-03	False	False	False	estimable
四物汤	30941683	2019-04-02	2019	2019	2021-08	False	True	False	estimable
四物汤	32457630	2020-05-08	2020	2020	2020	False	False	False	estimable
四物汤	41814706	2025-12	2025	2025	2025-12	False	False	False	estimable
四物汤	35653799	2022-05	2022	2022	2022-05	False	False	False	estimable
四物汤	30989923	2019-02	2019	2019	2019-02	False	False	False	estimable
四物汤	29331744	2018-01-02	2018	2018	2018-02-01	False	False	False	estimable
四物汤	39680676	2025-06-09	2025	2025	2025-06-09	False	False	False	estimable
四物汤	37907033	2023-10-29	2023	2023	2023	False	False	False	estimable
四物汤	40461227	2025-04	2025	2025	2025-04	False	False	False	estimable
四物汤	18533502	2008-02	2008	2008	2008-02	False	False	False	estimable
四物汤	34513708	2021-08-26	2021	2021	2021	False	False	False	estimable
四物汤	39442827	2024-10-21	2024	2024	2025-01-30	False	True	False	estimable
四物汤	33023593	2020-10-06	2020	2020	2020-10-06	False	False	False	estimable
四物汤	40034562	2025-02-23	2025	2025	2025	False	False	False	estimable
四物汤	35485156	2022-04-25	2022	2022	2022-04-25	False	False	False	estimable
四物汤	31885903	2019-12-10	2019	2019	2019	False	False	False	estimable
四物汤	28197938	2017-02-15	2017	2017	2018-03	False	True	False	estimable
四物汤	40591156	2025-07-01	2025	2025	2025-09	False	False	False	estimable
四物汤	35181489	2022-02-16	2022	2022	2022-05-23	False	False	False	estimable
四物汤	33350196	2020-11	2020	2020	2020-11	False	False	False	estimable
四物汤	16705858	2006-03	2006	2006	2006-03	False	False	False	estimable
四物汤	39418732	2024-10-16	2024	2024	2024-12-25	False	False	False	estimable
四物汤	17048588	2006-07	2006	2006	2006-07	False	False	False	estimable
四物汤	26775488	2015-11	2015	2015	2015-11	False	False	False	estimable
四物汤	39362331	2024-10-01	2024	2024	2025-01-30	False	True	False	estimable
四物汤	24494563	2013-11	2013	2013	2013-11	False	False	False	estimable
四物汤	28871699	2016-02	2016	2016	2016-02	False	False	False	estimable
四物汤	21174775	2010-10	2010	2010	2010-10	False	False	False	estimable
四物汤	41281278	2025-10-28	2025	2025	2025-10-28	False	False	False	estimable
四物汤	15575213	2004-09	2004	2004	2004-09	False	False	False	estimable
四物汤	17048609	2006-07	2006	2006	2006-07	False	False	False	estimable
四物汤	16201694	2005-08	2005	2005	2005-08	False	False	False	estimable
四物汤	16499030	2005-12	2005	2005	2005-12	False	False	False	estimable
四物汤	29399117	2017-11-29	2017	2017	2018-02	False	True	False	estimable
四物汤	27293456	2016-05-11	2016	2016	2016	False	False	False	estimable
四物汤	33164396	2020-09	2020	2020	2020-09	False	False	False	estimable
四物汤	22803378	2012-05	2012	2012	2012-05	False	False	False	estimable
四物汤	30829202	2019-01	2019	2019	2019-01	False	False	False	estimable
四物汤	28920349	2016-08	2016	2016	2016-08	False	False	False	estimable
四物汤	25253548	2014-09-24	2014	2014	2014-09-24	False	False	False	estimable
四物汤	19663102	2009-06	2009	2009	2009-06	False	False	False	estimable
四物汤	26677694	2015-08	2015	2015	2015-08	False	False	False	estimable
四物汤	24754179	2014-01	2014	2014	2014-01	False	False	False	estimable
四物汤	33081898	2020-09	2020	2020	2020-09	False	False	False	estimable
四逆汤	38029626	2023-11-12	2023	2023	2024-01	False	True	False	estimable
四逆汤	36632225	2023-01-01	2023	2023	2023	False	False	False	estimable
四逆汤	39798342	2025-01-05	2025	2025	2025-02	False	False	False	estimable
四逆汤	39306882	2024-09-08	2024	2024	2024-12	False	False	False	estimable
四逆汤	38921468	2024-06-14	2024	2024	2024-06-14	False	False	False	estimable
四逆汤	38504542	2024-04	2024	2024	2024-04	False	False	False	estimable
四逆汤	36959128	2023	2023	2023	2023	False	False	False	estimable
四逆汤	39949807	2024-03-26	2024	2024	2025-01	False	True	False	estimable
四逆汤	40391232	2025-05-14	2025	2025	2025	False	False	False	estimable
四逆汤	33776762	2021-03-11	2021	2021	2021	False	False	False	estimable
四逆汤	39059091	2024-05-17	2024	2024	2024-09	False	False	False	estimable
四逆汤	39525010	2024-10-29	2024	2024	2024-10-31	False	False	False	estimable
四逆汤	39922328	2025-02-06	2025	2025	2025-03-13	False	False	False	estimable
四逆汤	40754370	2025-08	2025	2025	2025-08	False	False	False	estimable
四逆汤	33817113	2018-11-09	2018	2018	2018-01	False	False	False	estimable
四逆汤	28763759	2017-07-24	2017	2017	2017-09-01	False	False	False	estimable
四逆汤	41084616	2025-10-08	2025	2025	2025	False	False	False	estimable
四逆汤	30108656	2018-07-10	2018	2018	2018	False	False	False	estimable
四逆汤	36471944	2022-11	2022	2022	2022-11	False	False	False	estimable
四逆汤	27200105	2016-04-20	2016	2016	2016	False	False	False	estimable
四逆汤	38584284	2024-04-07	2024	2024	2024-04-07	False	False	False	estimable
四逆汤	29990483	2018-07-07	2018	2018	2018-09-01	False	False	False	estimable
四逆汤	37818184	2023-09-25	2023	2023	2023	False	False	False	estimable
四逆汤	33505310	2021-01-11	2021	2021	2020	False	True	False	estimable
四逆汤	38858165	2024-06	2024	2024	2024-06	False	False	False	estimable
四逆汤	33628311	2021-02-12	2021	2021	2021	False	False	False	estimable
四逆汤	39809170	2024-11-22	2024	2024	2024-11-22	False	False	False	estimable
四逆汤	36270097	2022-10-14	2022	2022	2023-01-05	False	True	False	estimable
四逆汤	36123021	2022-09-17	2022	2022	2022-12-01	False	False	False	estimable
四逆汤	38212033	2023-12	2023	2023	2023-12	False	False	False	estimable
四逆汤	38711438	2024-04-29	2024	2024	2024	False	False	False	estimable
