formula	ablation	fixed_candidate_universe	ranked_candidates	top10_jaccard_vs_primary	top20_jaccard_vs_primary	interpretation
补中益气汤	without_measured_and_literature	53	53	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
补中益气汤	literature_only	53	53	0.111111	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
补中益气汤	measured_only	53	53	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	primary	86	86	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	without_literature	86	86	0.666667	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	without_measured	86	86	0.052632	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	without_measured_and_literature	86	86	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	literature_only	86	86	0.052632	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
桂枝汤	measured_only	86	86	0.666667	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	primary	45	45	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	without_literature	45	45	0.666667	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	without_measured	45	45	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	without_measured_and_literature	45	45	0.052632	0.37931	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	literature_only	45	45	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
麻黄汤	measured_only	45	45	0.666667	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	primary	111	111	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	without_literature	111	111	0.538462	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	without_measured	111	111	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	without_measured_and_literature	111	111	0.052632	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	literature_only	111	111	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
小柴胡汤	measured_only	111	111	0.538462	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	primary	41	41	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	without_literature	41	41	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	without_measured	41	41	0.111111	0.25	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	without_measured_and_literature	41	41	0.176471	0.290323	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	literature_only	41	41	0.111111	0.25	ranking sensitivity / evidence-source contribution; not predictive performance
理中丸	measured_only	41	41	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	primary	67	67	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	without_literature	67	67	0.538462	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	without_measured	67	67	0.0	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	without_measured_and_literature	67	67	0.0	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	literature_only	67	67	0.0	0.025641	ranking sensitivity / evidence-source contribution; not predictive performance
四逆汤	measured_only	67	67	0.538462	0.904762	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	primary	49	49	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	without_literature	49	49	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	without_measured	49	49	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	without_measured_and_literature	49	49	0.052632	0.25	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	literature_only	49	49	0.052632	0.081081	ranking sensitivity / evidence-source contribution; not predictive performance
二陈汤	measured_only	49	49	0.818182	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	primary	80	80	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	without_literature	80	80	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	without_measured	80	80	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	without_measured_and_literature	80	80	0.176471	0.212121	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	literature_only	80	80	0.0	0.0	ranking sensitivity / evidence-source contribution; not predictive performance
黄连解毒汤	measured_only	80	80	1.0	1.0	ranking sensitivity / evidence-source contribution; not predictive performance
